City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,80.33,78,40,8.05,US,1691635221
1,iqaluit,63.7506,-68.5145,42.53,100,100,10.36,CA,1691635251
2,adamstown,-25.066,-130.1015,66.79,56,84,21.94,PN,1691635216
3,codrington,-38.2667,141.9667,54.1,73,100,14.34,AU,1691635251
4,ushuaia,-54.8,-68.3,40.66,70,40,2.3,AR,1691635213
5,hithadhoo,-0.6,73.0833,81.05,75,67,5.06,MV,1691634971
6,fort st. john,56.2499,-120.8529,69.69,49,75,11.5,CA,1691635063
7,grytviken,-54.2811,-36.5092,22.93,93,94,4.29,GS,1691635206
8,champerico,14.3,-91.9167,82.58,77,48,4.74,GT,1691635251
9,ulladulla,-35.35,150.4667,61.25,53,83,16.84,AU,1691635251
10,badger,64.8,-147.5333,71.51,74,75,6.91,US,1691635252
11,yugorsk,61.3133,63.3319,59.74,54,28,7.2,RU,1691635239
12,luderitz,-26.6481,15.1594,71.69,44,99,3.24,NA,1691635252
13,talnakh,69.4865,88.3972,58.21,51,100,6.26,RU,1691635252
14,bethel,41.3712,-73.414,74.48,73,0,8.05,US,1691635207
15,haiku-pauwela,20.9219,-156.3051,84.22,58,20,27.63,US,1691635213
16,akureyri,65.6835,-18.0878,46.33,76,75,2.3,IS,1691635252
17,port-aux-francais,-49.35,70.2167,38.34,87,97,23.02,TF,1691635206
18,iskateley,67.6803,53.1512,56.39,75,0,6.15,RU,1691635252
19,kone,-21.0595,164.8658,68.13,53,85,15.32,NC,1691635252
20,edinburgh of the seven seas,-37.0676,-12.3116,51.03,54,59,21.88,SH,1691635206
21,college,64.8569,-147.8028,71.58,71,75,6.91,US,1691635205
22,sergeyevka,53.88,67.4158,70.74,53,21,12.55,KZ,1691635253
23,bamboo flat,11.7,92.7167,84.29,84,40,9.22,IN,1691635253
24,auburn,47.3073,-122.2284,76.08,63,40,16.11,US,1691634603
25,lihue,21.9789,-159.3672,88.84,69,100,20.71,US,1691635173
26,nova sintra,14.8667,-24.7167,72.91,73,76,15.73,CV,1691635216
27,weyburn,49.6668,-103.8511,59.22,67,56,10.36,CA,1691635253
28,al bahah,20.0129,41.4677,72.82,20,10,6.11,SA,1691635253
29,bredasdorp,-34.5322,20.0403,49.66,87,0,4.05,ZA,1691635253
30,papatowai,-46.5619,169.4708,42.01,74,52,7.49,NZ,1691635205
31,thunder bay,48.4001,-89.3168,62.58,77,75,6.91,CA,1691635220
32,vorgashor,67.5833,63.95,54.48,69,67,11.36,RU,1691635254
